class,prediction_date,average_rv,average_rv_%,mae,me,mae_market,me_market,count,error_count
overall,2017-01,19580.82,53.31,4156.98,-2510.89,3060.10,-1930.93,8898,0
overall,2017-02,19279.03,52.28,3709.31,-2197.97,3115.88,-1947.20,8892,0
overall,2017-03,19093.96,51.40,3570.79,-1952.39,3182.18,-1956.84,8897,0
overall,2017-04,19174.24,51.67,3600.10,-2187.52,3207.88,-2030.60,8966,0
overall,2017-05,19204.52,51.50,3445.53,-2128.55,3249.43,-2007.82,9104,0
overall,2017-06,18925.15,50.89,3229.36,-1837.80,3266.64,-1971.67,9279,0
overall,2017-07,18684.65,50.36,3129.09,-1647.29,3265.88,-1938.69,9341,0
overall,2017-08,18669.90,50.06,3041.29,-1516.68,3286.57,-1894.49,9691,0
overall,2017-09,18381.11,49.21,2949.17,-1155.54,3312.07,-1861.89,9904,0
overall,2017-10,18444.06,49.15,2883.98,-1146.05,3340.97,-1858.09,10135,0
overall,2017-11,18517.45,49.04,2808.60,-1105.31,3378.33,-1856.48,10163,0
overall,2017-12,18473.26,48.65,2761.35,-934.26,3391.56,-1857.08,10286,0
overall,2018-01,18493.70,48.45,2750.89,-806.96,3407.72,-1787.83,10135,0
overall,2018-02,18569.71,48.32,2735.09,-720.22,3390.19,-1700.98,10043,0
overall,2018-03,18942.35,49.57,2797.88,-921.39,3343.98,-1634.41,10382,0
overall,2018-04,19152.52,50.10,2786.27,-912.78,3286.40,-1579.66,10947,0
overall,2018-05,19445.99,50.59,2832.95,-946.97,3276.86,-1505.36,11350,0
overall,2018-06,19487.18,50.66,2830.05,-862.43,3235.93,-1443.53,11576,0
overall,2018-07,19753.87,51.21,2813.41,-908.73,3197.07,-1391.48,11724,0
overall,2018-08,20100.12,51.27,2762.88,-666.59,3140.01,-1326.34,12256,0
overall,2018-09,20013.32,51.12,2730.24,-614.56,3128.23,-1300.43,12185,0
overall,2018-10,20126.74,51.54,2767.35,-696.08,3110.87,-1215.81,12256,0
overall,2018-11,20446.92,52.37,2845.10,-919.72,3116.89,-1165.70,12285,0
overall,2018-12,20623.12,52.64,2923.72,-966.95,3117.90,-1107.27,12405,0
overall,2019-01,20815.76,52.79,2986.73,-1053.90,3157.95,-995.52,12057,0
overall,2019-02,20876.80,52.65,2994.71,-1003.43,3194.40,-935.26,11959,0
overall,2019-03,20819.29,52.50,2978.41,-869.67,3200.50,-844.48,11973,0
overall,2019-04,20783.61,52.26,2840.95,-673.60,3195.95,-724.25,12085,0
overall,2019-05,20566.20,51.93,2718.34,-468.61,3166.38,-571.52,11920,0
overall,2019-06,20676.49,52.31,2666.03,-396.82,3134.55,-344.25,11604,0
overall,2019-07,20830.34,52.54,2685.62,-285.87,3110.18,-169.41,11470,0
overall,2019-08,20861.78,52.48,2696.99,-199.68,3132.05,-55.14,11065,0
overall,2019-09,20778.85,52.37,2681.67,-36.76,3159.21,18.04,10953,0
overall,2019-10,20714.80,52.20,2651.50,87.42,3197.93,93.86,10588,0
overall,2019-11,20549.97,51.90,2659.15,267.41,3217.80,179.79,10370,0
overall,2019-12,20387.01,51.61,2717.49,413.80,3271.67,341.41,9626,0
overall,2020-01,20223.79,51.35,2723.07,622.96,3273.88,497.26,9075,0
overall,2020-02,20237.22,51.43,2746.14,685.35,3297.20,610.14,8755,0
overall,2020-03,20192.95,51.48,2764.26,717.11,3324.80,746.30,8276,0
overall,2020-04,20076.78,51.36,2793.97,792.01,3343.30,826.20,7885,0
overall,2020-05,20148.65,51.49,2817.38,783.58,3358.93,863.96,7964,0
overall,2020-06,20090.27,51.31,2905.60,1007.61,3395.47,998.00,7977,0
overall,2020-07,19842.57,50.54,3035.86,1507.34,3428.79,1236.76,7680,0
overall,2020-08,19985.10,50.50,3168.37,1688.05,3485.53,1435.02,7371,0
overall,2020-09,20136.20,50.83,3206.73,1671.77,3512.56,1502.61,7318,0
overall,2020-10,20340.63,51.29,3320.54,1693.23,3573.19,1681.45,6859,0
overall,2020-11,20495.49,51.38,3457.62,1838.85,3680.48,1980.55,6295,0
overall,2020-12,20593.67,51.35,3539.20,1970.85,3722.79,2177.21,6054,0
overall,2021-01,20589.82,51.35,3590.47,2098.03,3729.67,2360.62,5861,0
overall,2021-02,20606.30,51.02,3670.20,2362.09,3797.95,2648.16,5466,0
overall,2021-03,20641.94,50.80,3751.45,2640.17,3931.27,2911.72,5100,0
overall,2021-04,20896.11,51.25,3669.27,2637.28,4040.20,3142.14,4793,0
overall,2021-05,21068.90,51.45,3715.79,2781.95,4142.34,3374.19,4472,0
overall,2021-06,21378.88,51.88,3771.18,2809.96,4305.75,3662.23,4167,0
overall,2021-07,21656.14,52.17,3848.44,2871.33,4496.71,3943.73,3789,0
overall,2021-08,22035.23,52.71,3839.35,2713.64,4627.71,4105.91,3398,0
overall,2021-09,22316.43,53.50,3763.13,2418.20,4631.87,4147.35,3258,0
overall,2021-10,22781.11,54.43,3731.22,2044.87,4666.24,4211.51,2903,0
overall,2021-11,23117.09,55.48,3726.03,1588.85,4667.97,4191.85,2657,0
overall,2021-12,23328.90,56.18,3676.99,1208.58,4609.67,4121.44,2510,0
overall,2022-01,23665.88,57.17,3729.74,768.05,4548.81,4037.99,2370,0
overall,2022-02,24079.09,58.11,3771.32,327.22,4517.30,3985.92,2234,0
overall,2022-03,24119.60,58.41,3713.14,40.12,4409.89,3855.95,2010,0
overall,2022-04,24103.61,58.18,3575.65,43.13,4382.28,3801.51,1749,0
overall,2022-05,23894.40,57.55,3493.07,257.91,4376.51,3780.58,1611,0
overall,2022-06,23702.41,57.59,3418.13,146.67,4208.77,3569.11,1366,0
overall,2022-07,23812.20,58.37,3400.80,-81.33,4121.16,3400.57,1087,0
overall,2022-08,24215.55,60.05,3462.14,-817.10,3988.68,3214.57,981,0
overall,2022-09,24711.97,61.43,3581.50,-1345.18,3982.23,3196.26,951,0
overall,2022-10,24617.09,61.14,3648.60,-1964.20,3593.87,2531.02,600,0
overall,2022-11,24983.26,58.83,3452.54,-1562.06,3723.86,2333.67,306,0
overall,2022-12,29741.02,61.59,3442.16,416.23,5864.04,5184.78,40,0
A,overall,15141.25,55.14,2283.16,574.42,2357.62,866.69,98285,0
AMG GT,overall,88185.41,59.66,13835.64,7320.09,18489.85,18232.87,407,0
B,overall,15037.94,50.56,2139.19,-256.02,2377.44,-948.29,49876,0
C,overall,18400.67,47.88,2877.07,-894.58,3327.23,-1502.76,174190,0
CLA,overall,18792.35,57.20,2898.82,-1248.26,2444.97,404.64,59675,0
CLS,overall,30258.58,43.56,6793.70,-1827.19,6641.46,514.61,1945,0
E,overall,24849.48,48.03,3167.83,-218.56,4309.87,-2361.56,83201,0
G,overall,81786.71,64.06,25319.89,20633.67,33224.55,32494.13,222,0
GLA,overall,19088.20,56.43,2948.31,601.23,3072.35,2383.21,15240,0
GLB,overall,27545.62,66.57,6472.27,6152.90,10277.79,10277.79,357,0
GLC,overall,29259.63,56.50,4376.23,1071.27,4606.53,2640.27,45940,0
GLE,overall,35510.48,48.90,7194.44,2005.38,7550.33,6277.15,8383,0
GLS,overall,48904.70,55.40,8261.05,1614.07,12691.17,11588.08,518,0
S,overall,58962.39,52.40,10070.32,-4577.70,8574.79,5472.57,2800,0
SL,overall,57742.58,46.91,10253.74,9286.74,16532.39,16500.91,256,0
SLC,overall,22281.72,51.41,7639.07,5839.70,8841.77,8332.67,663,0
A,2017-01,13258.01,52.81,1878.80,-862.08,1613.65,-911.80,1318,0
A,2017-02,13120.33,52.22,1782.86,-745.74,1626.30,-865.88,1311,0
A,2017-03,12575.20,49.96,1523.02,-166.81,1661.02,-784.07,1277,0
A,2017-04,12679.26,50.24,1551.68,-237.07,1667.78,-793.16,1332,0
A,2017-05,12740.72,50.31,1580.64,-230.78,1691.28,-759.68,1355,0
A,2017-06,13016.37,51.32,1728.83,-364.57,1719.71,-732.56,1419,0
A,2017-07,13129.72,51.81,1815.63,-420.28,1709.26,-685.38,1464,0
A,2017-08,13205.77,51.97,1835.37,-385.64,1743.00,-670.09,1525,0
A,2017-09,13300.06,52.28,1898.28,-391.71,1771.34,-643.78,1580,0
A,2017-10,13313.88,52.29,1930.46,-404.00,1824.30,-658.68,1626,0
A,2017-11,13304.90,52.14,1906.75,-352.46,1826.39,-622.98,1606,0
A,2017-12,12753.76,49.98,1851.22,190.97,1836.68,-584.42,1569,0
A,2018-01,12761.27,50.10,1889.86,140.45,1854.41,-571.60,1560,0
A,2018-02,12775.64,50.01,1937.91,194.09,1874.12,-524.55,1576,0
A,2018-03,13659.91,53.02,1962.72,-435.77,1873.41,-542.69,1700,0
A,2018-04,13986.34,53.70,1927.86,-457.06,1854.26,-570.18,1839,0
A,2018-05,14165.32,53.92,1930.88,-340.99,1912.21,-474.74,1926,0
A,2018-06,14357.50,54.32,1896.12,-305.53,1918.37,-440.42,2028,0
A,2018-07,14966.74,56.25,1971.40,-721.49,1914.53,-392.72,2092,0
A,2018-08,14670.18,54.72,1751.06,-48.21,1866.40,-286.84,2216,0
A,2018-09,14687.12,54.70,1717.56,-0.27,1851.35,-253.74,2245,0
A,2018-10,15036.05,55.53,1712.61,-28.10,1827.34,-145.43,2338,0
A,2018-11,15692.53,57.38,1785.04,-376.16,1854.07,-12.51,2398,0
A,2018-12,15748.12,57.20,1796.73,-233.20,1879.50,54.62,2436,0
A,2019-01,15777.69,57.24,1886.35,-160.28,1920.34,204.49,2337,0
A,2019-02,15904.37,57.54,1968.52,-202.75,1953.40,280.98,2305,0
A,2019-03,15889.79,57.42,2049.72,-167.41,2010.16,377.95,2235,0
A,2019-04,15872.61,57.27,2108.80,-44.48,2048.33,468.11,2220,0
A,2019-05,15953.85,57.41,2122.80,40.37,2062.70,581.49,2211,0
A,2019-06,16002.01,57.47,2172.41,94.52,2101.72,679.40,2157,0
A,2019-07,15906.63,57.01,2218.41,296.93,2162.48,810.93,2105,0
A,2019-08,15719.32,56.30,2241.40,544.18,2253.15,954.04,2006,0
A,2019-09,15702.68,56.04,2208.72,744.01,2309.26,1020.61,2026,0
A,2019-10,15441.53,54.89,2293.36,1130.37,2380.60,1180.05,1913,0
A,2019-11,15479.06,55.19,2388.49,1126.77,2412.49,1291.10,1861,0
A,2019-12,15413.62,54.92,2505.37,1293.27,2511.17,1476.21,1738,0
A,2020-01,15511.66,55.06,2554.80,1417.56,2529.21,1639.31,1680,0
A,2020-02,15515.67,54.94,2571.19,1571.43,2580.04,1745.98,1676,0
A,2020-03,15478.29,54.80,2603.18,1674.83,2591.36,1789.10,1637,0
A,2020-04,15498.29,54.80,2642.96,1686.64,2615.63,1826.96,1587,0
A,2020-05,15568.71,55.02,2702.82,1668.93,2647.79,1865.03,1599,0
A,2020-06,15563.72,54.90,2798.94,1823.26,2728.05,1972.01,1614,0
A,2020-07,15475.82,54.58,2942.42,2047.23,2819.39,2139.23,1557,0
A,2020-08,15362.26,54.15,3108.60,2322.80,2945.59,2332.56,1478,0
A,2020-09,15439.21,54.41,3203.96,2361.47,3018.70,2440.38,1460,0
A,2020-10,15545.33,54.66,3245.09,2320.65,3049.68,2483.28,1387,0
A,2020-11,15754.41,54.95,3317.81,2373.30,3185.05,2654.96,1305,0
A,2020-12,15828.85,55.12,3311.83,2379.20,3223.55,2757.49,1253,0
A,2021-01,15865.86,55.15,3340.83,2459.45,3235.81,2883.16,1236,0
A,2021-02,15764.84,54.66,3416.71,2695.69,3342.56,3098.77,1151,0
A,2021-03,15820.90,54.70,3494.49,2772.34,3476.55,3263.85,1072,0
A,2021-04,16379.85,56.35,3082.03,2348.21,3577.72,3415.23,1003,0
A,2021-05,16631.12,57.10,3074.70,2256.54,3720.86,3600.54,935,0
A,2021-06,16837.47,57.50,3108.95,2326.01,3955.11,3863.10,866,0
A,2021-07,17011.51,57.67,3243.41,2388.39,4202.34,4104.19,768,0
A,2021-08,17046.68,57.46,3335.65,2492.77,4448.99,4340.13,653,0
A,2021-09,17307.41,58.26,3301.15,2311.04,4469.49,4359.29,624,0
A,2021-10,17607.39,58.76,3291.01,2208.42,4500.93,4385.13,563,0
A,2021-11,17878.56,59.81,3179.32,1882.52,4399.01,4296.74,529,0
A,2021-12,18063.27,60.49,3063.89,1567.53,4337.92,4231.00,506,0
A,2022-01,18483.31,61.78,3058.35,1096.20,4221.65,4107.99,476,0
A,2022-02,18749.38,62.52,2949.42,877.34,4201.12,4085.88,453,0
A,2022-03,18906.20,63.20,2721.22,422.16,3939.31,3815.01,420,0
A,2022-04,19095.09,63.27,2768.31,448.09,3920.19,3782.37,366,0
A,2022-05,19258.06,63.93,2817.95,233.34,3823.47,3676.41,343,0
A,2022-06,19471.59,64.67,2801.16,5.70,3587.30,3420.89,295,0
A,2022-07,19835.22,65.57,2566.18,-218.82,3442.36,3259.92,251,0
A,2022-08,20366.52,67.40,2487.37,-775.68,3349.76,3155.73,236,0
A,2022-09,20868.30,69.09,2408.18,-1290.74,3341.10,3142.00,230,0
A,2022-10,20973.87,69.04,2435.42,-1671.18,3056.73,2804.33,152,0
A,2022-11,21419.53,67.31,1700.47,-878.41,3383.82,3111.36,65,0
A,2022-12,23459.95,63.14,1659.96,1588.93,5641.54,5641.54,9,0
AMG GT,2017-01,89947.81,68.30,11647.64,-5947.81,9740.85,9740.85,3,0
AMG GT,2017-02,94393.70,73.57,15893.70,-15893.70,8998.57,8998.57,2,0
AMG GT,2017-03,94738.62,73.82,16238.62,-16238.62,8998.57,8998.57,2,0
AMG GT,2017-04,93597.33,72.95,15097.33,-15097.33,8998.57,8998.57,2,0
AMG GT,2017-05,88164.78,63.98,13877.98,1568.55,13424.05,13424.05,3,0
AMG GT,2017-06,87008.03,61.42,14762.23,8650.14,17827.44,17827.44,6,0
AMG GT,2017-07,87444.89,61.71,14378.20,8213.28,17827.44,17827.44,6,0
AMG GT,2017-08,88826.75,62.73,15749.35,8363.05,19487.40,19487.40,5,0
AMG GT,2017-09,86310.05,60.93,17101.52,10879.75,19487.40,19487.40,5,0
AMG GT,2017-10,85736.03,60.51,17183.85,11453.77,19487.40,19487.40,5,0
AMG GT,2017-11,86296.40,62.19,13942.37,8828.43,18939.25,18939.25,6,0
AMG GT,2017-12,86593.93,60.96,16403.73,10627.36,18685.57,18685.57,7,0
AMG GT,2018-01,90410.87,61.49,15063.31,12347.29,21664.33,21664.33,6,0
AMG GT,2018-02,89975.27,60.60,17206.30,14931.73,25787.81,25787.81,7,0
AMG GT,2018-03,92469.25,61.71,16116.81,13170.91,30163.29,30163.29,6,0
AMG GT,2018-04,91269.01,60.87,17187.34,14371.16,30163.29,30163.29,6,0
AMG GT,2018-05,89617.35,59.71,18765.87,16022.82,30163.29,30163.29,6,0
AMG GT,2018-06,93845.31,61.13,14483.49,12731.97,26930.24,26930.24,7,0
AMG GT,2018-07,92874.35,61.09,15005.49,10607.99,23551.47,23551.47,9,0
AMG GT,2018-08,94288.97,62.60,15822.22,8004.47,22755.52,22755.52,9,0
AMG GT,2018-09,93297.02,64.62,14607.15,2767.08,21610.67,21610.67,10,0
AMG GT,2018-10,93740.78,64.95,14945.35,2323.32,21610.67,21610.67,10,0
AMG GT,2018-11,95606.15,65.04,11856.25,-838.79,17181.62,17137.05,11,0
AMG GT,2018-12,95522.26,64.41,10499.95,-1818.53,12955.82,12911.24,11,0
AMG GT,2019-01,93578.04,62.71,11884.70,783.71,12180.01,12139.15,12,0
AMG GT,2019-02,92233.75,62.58,11024.04,1954.89,12312.32,12277.30,14,0
AMG GT,2019-03,92647.42,64.17,10921.91,-1537.34,11672.03,11175.52,14,0
AMG GT,2019-04,93031.83,64.79,11856.19,-2578.90,10904.50,10407.99,14,0
AMG GT,2019-05,90307.09,63.82,11608.21,-797.69,11355.45,10892.05,15,0
AMG GT,2019-06,86027.89,60.50,8743.31,3314.84,11036.35,10320.35,15,0
AMG GT,2019-07,82322.07,57.64,11076.23,7605.49,10359.28,9688.04,16,0
AMG GT,2019-08,80367.97,56.33,12102.41,9559.60,10359.28,9688.04,16,0
AMG GT,2019-09,74187.07,52.10,18283.35,15740.50,10359.28,9688.04,16,0
AMG GT,2019-10,84051.38,57.79,11500.24,7112.36,11615.68,10899.69,15,0
AMG GT,2019-11,85063.30,57.45,9464.65,6450.88,12612.98,11681.20,11,0
AMG GT,2019-12,87108.29,57.45,9409.26,6257.31,12437.40,11412.44,10,0
AMG GT,2020-01,84365.62,56.91,11423.43,7399.52,16417.13,15875.87,7,0
AMG GT,2020-02,85020.59,56.88,11149.67,7696.16,17472.13,16998.53,8,0
AMG GT,2020-03,89177.19,56.54,10731.77,7961.81,20035.65,20035.65,6,0
AMG GT,2020-04,87482.33,54.64,14322.34,10801.17,28496.38,28496.38,4,0
AMG GT,2020-05,87482.27,54.64,14322.13,10801.23,28496.38,28496.38,4,0
AMG GT,2020-06,87559.19,54.69,14299.40,10724.31,28496.38,28496.38,4,0
AMG GT,2020-07,88181.89,55.10,14205.79,10101.61,28496.38,28496.38,4,0
AMG GT,2020-08,88218.51,55.12,14193.99,10064.99,28496.38,28496.38,4,0
AMG GT,2020-09,88397.92,55.23,14133.31,9885.58,28496.38,28496.38,4,0
AMG GT,2020-10,88722.55,55.43,13899.86,9560.95,28496.38,28496.38,4,0
AMG GT,2020-11,88289.65,55.17,14414.24,9993.85,28496.38,28496.38,4,0
