class,prediction_date,average_rv,average_rv_%,mae,me,mae_market,me_market,count,error_count
overall,2017-01,19580.82,53.31,4156.98,-2510.89,3060.10,-1930.93,8898,0
overall,2017-02,19296.47,52.35,3743.43,-2215.41,3115.88,-1947.20,8892,0
overall,2017-03,19153.99,51.60,3638.90,-2012.42,3182.18,-1956.84,8897,0
overall,2017-04,19209.42,51.85,3655.03,-2222.70,3207.88,-2030.60,8966,0
overall,2017-05,19286.41,51.75,3477.59,-2210.43,3249.43,-2007.82,9104,0
overall,2017-06,19007.21,51.14,3297.72,-1919.86,3266.64,-1971.67,9279,0
overall,2017-07,18779.61,50.62,3192.35,-1742.25,3265.88,-1938.69,9341,0
overall,2017-08,18771.51,50.33,3124.83,-1618.28,3286.57,-1894.49,9691,0
overall,2017-09,18422.73,49.24,3057.71,-1197.16,3312.07,-1861.89,9904,0
overall,2017-10,18474.51,49.14,2997.74,-1176.50,3340.97,-1858.09,10135,0
overall,2017-11,18517.74,48.96,2919.55,-1105.60,3378.33,-1856.48,10163,0
overall,2017-12,18527.29,48.78,2882.99,-988.28,3391.56,-1857.08,10286,0
overall,2018-01,18519.11,48.52,2875.56,-832.38,3407.72,-1787.83,10135,0
overall,2018-02,18599.39,48.39,2860.09,-749.89,3390.19,-1700.98,10043,0
overall,2018-03,18909.22,49.39,2923.30,-888.27,3343.98,-1634.41,10382,0
overall,2018-04,19113.57,49.91,2908.03,-873.84,3286.40,-1579.66,10947,0
overall,2018-05,19414.57,50.43,2950.93,-915.55,3276.86,-1505.36,11350,0
overall,2018-06,19454.59,50.50,2953.90,-829.84,3235.93,-1443.53,11576,0
overall,2018-07,19631.52,50.71,2910.38,-786.38,3197.07,-1391.48,11724,0
overall,2018-08,20067.94,51.11,2869.28,-634.41,3140.01,-1326.34,12256,0
overall,2018-09,19975.74,50.94,2834.54,-576.99,3128.23,-1300.43,12185,0
overall,2018-10,20064.77,51.29,2866.14,-634.11,3110.87,-1215.81,12256,0
overall,2018-11,20317.67,51.88,2934.98,-790.47,3116.89,-1165.70,12285,0
overall,2018-12,20548.23,52.34,3015.48,-892.06,3117.90,-1107.27,12405,0
overall,2019-01,20734.97,52.49,3084.47,-973.11,3157.95,-995.52,12057,0
overall,2019-02,20783.75,52.31,3098.91,-910.38,3194.40,-935.26,11959,0
overall,2019-03,20718.35,52.14,3078.41,-768.72,3200.50,-844.48,11973,0
overall,2019-04,20702.35,51.97,2930.37,-592.34,3195.95,-724.25,12085,0
overall,2019-05,20486.05,51.64,2800.71,-388.46,3166.38,-571.52,11920,0
overall,2019-06,20592.83,52.01,2733.94,-313.16,3134.55,-344.25,11604,0
overall,2019-07,20738.79,52.23,2745.91,-194.32,3110.18,-169.41,11470,0
overall,2019-08,20765.65,52.18,2750.92,-103.55,3132.05,-55.14,11065,0
overall,2019-09,20710.69,52.15,2744.33,31.40,3159.21,18.04,10953,0
overall,2019-10,20501.71,51.63,2751.30,300.50,3197.93,93.86,10588,0
overall,2019-11,20441.72,51.61,2729.68,375.65,3217.80,179.79,10370,0
overall,2019-12,20318.48,51.42,2785.07,482.32,3271.67,341.41,9626,0
overall,2020-01,20202.15,51.29,2775.30,644.60,3273.88,497.26,9075,0
overall,2020-02,20218.30,51.37,2782.05,704.27,3297.20,610.14,8755,0
overall,2020-03,20210.03,51.51,2788.64,700.03,3324.80,746.30,8276,0
overall,2020-04,20113.82,51.43,2813.60,754.96,3343.30,826.20,7885,0
overall,2020-05,20196.75,51.59,2834.74,735.48,3358.93,863.96,7964,0
overall,2020-06,20125.25,51.40,2923.82,972.63,3395.47,998.00,7977,0
overall,2020-07,19967.41,50.85,2999.94,1382.50,3428.79,1236.76,7680,0
overall,2020-08,20141.48,50.89,3098.17,1531.67,3485.53,1435.02,7371,0
overall,2020-09,20284.09,51.21,3134.04,1523.88,3512.56,1502.61,7318,0
overall,2020-10,20492.93,51.68,3243.00,1540.92,3573.19,1681.45,6859,0
overall,2020-11,20654.76,51.80,3375.61,1679.58,3680.48,1980.55,6295,0
overall,2020-12,20756.27,51.78,3443.63,1808.25,3722.79,2177.21,6054,0
overall,2021-01,20760.34,51.80,3475.82,1927.51,3729.67,2360.62,5861,0
overall,2021-02,20785.68,51.50,3537.44,2182.71,3797.95,2648.16,5466,0
overall,2021-03,20816.55,51.27,3615.54,2465.56,3931.27,2911.72,5100,0
overall,2021-04,20899.20,51.22,3671.54,2634.19,4040.20,3142.14,4793,0
