class,prediction_date,average_rv,average_rv_%,mae,me,mae_market,me_market,count,error_count
overall,2021-01,20615.90,51.42,3576.81,2071.95,3729.67,2360.62,5861,0
overall,2021-02,20633.39,51.09,3654.14,2335.00,3797.95,2648.16,5466,0
overall,2021-03,20669.87,50.87,3733.65,2612.25,3931.27,2911.72,5100,0
overall,2021-04,20924.06,51.31,3652.39,2609.33,4040.20,3142.14,4793,0
overall,2021-05,21096.13,51.51,3697.93,2754.72,4142.34,3374.19,4472,0
overall,2021-06,21405.67,51.94,3752.86,2783.18,4305.75,3662.23,4167,0
overall,2021-07,21682.14,52.23,3830.15,2845.33,4496.71,3943.73,3789,0
overall,2021-08,22061.48,52.77,3821.90,2687.39,4627.71,4105.91,3398,0
overall,2021-09,22337.20,53.55,3748.37,2397.42,4631.87,4147.35,3258,0
overall,2021-10,22799.00,54.47,3720.12,2026.98,4666.24,4211.51,2903,0
overall,2021-11,23133.70,55.52,3717.48,1572.24,4667.97,4191.85,2657,0
overall,2021-12,23346.54,56.22,3667.05,1190.95,4609.67,4121.44,2510,0
overall,2022-01,23682.68,57.20,3720.10,751.25,4548.81,4037.99,2370,0
overall,2022-02,24095.60,58.15,3762.27,310.70,4517.30,3985.92,2234,0
overall,2022-03,24132.20,58.43,3708.54,27.52,4409.89,3855.95,2010,0
overall,2022-04,24114.54,58.20,3571.79,32.21,4382.28,3801.51,1749,0
overall,2022-05,23904.40,57.58,3489.42,247.90,4376.51,3780.58,1611,0
overall,2022-06,23713.32,57.62,3413.96,135.76,4208.77,3569.11,1366,0
overall,2022-07,23821.79,58.39,3397.99,-90.92,4121.16,3400.57,1087,0
overall,2022-08,24225.43,60.07,3461.01,-826.98,3988.68,3214.57,981,0
overall,2022-09,24727.07,61.46,3574.64,-1360.28,3982.23,3196.26,951,0
overall,2022-10,24618.54,61.15,3650.13,-1965.64,3593.87,2531.02,600,0
overall,2022-11,25007.58,58.89,3468.95,-1586.39,3723.86,2333.67,306,0
overall,2022-12,29750.06,61.61,3440.18,407.19,5864.04,5184.78,40,0
A,overall,17321.43,58.69,3130.21,1824.97,3830.77,3664.87,13202,0
AMG GT,overall,84346.32,51.12,21544.86,21013.75,35090.94,35090.94,32,0
B,overall,17413.34,55.04,3116.53,1817.65,2958.71,2396.98,4572,0
C,overall,20152.97,50.07,3195.62,1341.12,3228.75,2334.58,18596,0
CLA,overall,19055.30,55.71,3521.21,991.35,4110.48,3619.02,6147,0
CLS,overall,38002.79,47.15,11091.35,10472.39,15157.04,15157.04,121,0
E,overall,26752.16,48.19,4105.53,2178.29,3721.98,1609.21,10143,0
G,overall,76129.12,55.38,44785.48,44785.48,55359.46,55359.46,15,0
GLA,overall,20153.56,58.92,3759.45,2663.29,5271.80,5204.21,2199,0
GLB,overall,27668.12,67.09,6140.51,5733.79,10141.84,10141.84,281,0
GLC,overall,31347.61,58.62,3918.67,1300.92,6636.59,6288.38,6846,0
GLE,overall,39332.41,52.29,10736.32,6802.59,11727.05,11397.82,1304,0
GLS,overall,45730.79,53.75,8875.73,6804.29,16321.09,16026.30,34,0
S,overall,44129.04,42.20,13344.32,7146.52,17534.26,16785.55,159,0
SLC,overall,28469.30,67.17,3722.57,-318.45,11515.69,11515.69,28,0
A,2021-01,15865.86,55.15,3340.83,2459.45,3235.81,2883.16,1236,0
A,2021-02,15764.84,54.66,3416.71,2695.69,3342.56,3098.77,1151,0
A,2021-03,15820.90,54.70,3494.49,2772.34,3476.55,3263.85,1072,0
A,2021-04,16385.93,56.36,3075.86,2342.14,3577.72,3415.23,1003,0
A,2021-05,16635.06,57.11,3070.56,2252.60,3720.86,3600.54,935,0
A,2021-06,16839.95,57.50,3105.43,2323.53,3955.11,3863.10,866,0
A,2021-07,17014.87,57.67,3238.59,2385.03,4202.34,4104.19,768,0
A,2021-08,17046.03,57.45,3333.22,2493.42,4448.99,4340.13,653,0
A,2021-09,17303.48,58.24,3301.21,2314.96,4469.49,4359.29,624,0
A,2021-10,17600.53,58.73,3293.94,2215.29,4500.93,4385.13,563,0
A,2021-11,17865.77,59.76,3188.14,1895.30,4399.01,4296.74,529,0
A,2021-12,18046.28,60.43,3076.19,1584.52,4337.92,4231.00,506,0
A,2022-01,18466.62,61.73,3069.95,1112.89,4221.65,4107.99,476,0
A,2022-02,18735.47,62.47,2959.49,891.25,4201.12,4085.88,453,0
A,2022-03,18891.78,63.15,2730.65,436.58,3939.31,3815.01,420,0
A,2022-04,19083.42,63.23,2775.46,459.75,3920.19,3782.37,366,0
A,2022-05,19244.80,63.89,2826.61,246.60,3823.47,3676.41,343,0
A,2022-06,19456.23,64.62,2812.04,21.06,3587.30,3420.89,295,0
A,2022-07,19818.13,65.52,2578.06,-201.72,3442.36,3259.92,251,0
A,2022-08,20354.56,67.36,2495.04,-763.72,3349.76,3155.73,236,0
A,2022-09,20860.51,69.06,2411.19,-1282.95,3341.10,3142.00,230,0
A,2022-10,20963.64,69.01,2438.61,-1660.95,3056.73,2804.33,152,0
A,2022-11,21412.22,67.29,1702.40,-871.09,3383.82,3111.36,65,0
A,2022-12,23468.75,63.15,1647.68,1580.14,5641.54,5641.54,9,0
AMG GT,2021-01,88842.76,55.49,13689.64,9440.74,28496.38,28496.38,4,0
AMG GT,2021-02,89813.86,53.84,15130.81,15130.81,30893.84,30893.84,3,0
AMG GT,2021-03,89386.16,53.58,15558.50,15558.50,30893.84,30893.84,3,0
AMG GT,2021-04,87734.59,52.53,17210.07,17210.07,30893.84,30893.84,3,0
AMG GT,2021-05,85086.18,50.87,19858.49,19858.49,30893.84,30893.84,3,0
AMG GT,2021-06,82150.20,49.05,22794.46,22794.46,30893.84,30893.84,3,0
AMG GT,2021-07,83424.05,49.81,21520.62,21520.62,30893.84,30893.84,3,0
AMG GT,2021-08,97092.40,56.82,10635.60,10635.60,33912.19,33912.19,2,0
AMG GT,2021-09,100790.31,62.67,8450.69,8450.69,48126.36,48126.36,1,0
AMG GT,2021-10,91108.38,56.65,18132.62,18132.62,48126.36,48126.36,1,0
AMG GT,2021-11,68277.45,42.45,40963.55,40963.55,48126.36,48126.36,1,0
AMG GT,2021-12,71144.86,44.24,38096.14,38096.14,48126.36,48126.36,1,0
AMG GT,2022-01,73816.48,45.90,35424.52,35424.52,48126.36,48126.36,1,0
AMG GT,2022-02,39899.39,24.81,69341.61,69341.61,48126.36,48126.36,1,0
AMG GT,2022-03,62269.96,38.72,46971.04,46971.04,48126.36,48126.36,1,0
AMG GT,2022-04,89434.32,55.61,19806.68,19806.68,48126.36,48126.36,1,0
B,2021-01,17396.69,55.59,2801.88,867.65,2385.54,854.11,531,0
B,2021-02,17134.01,54.62,2848.19,1335.13,2378.80,1217.14,474,0
B,2021-03,16865.15,53.55,2947.55,1963.80,2497.55,1630.46,407,0
B,2021-04,16665.55,52.84,3088.97,2308.17,2600.65,1995.02,360,0
B,2021-05,16609.68,52.35,3208.33,2826.81,2767.65,2419.74,316,0
B,2021-06,16655.31,52.45,3392.10,2916.92,2985.27,2728.96,281,0
B,2021-07,16624.05,52.26,3622.08,3170.56,3316.45,3134.00,244,0
B,2021-08,16873.73,53.21,3760.22,3038.36,3461.16,3302.87,225,0
B,2021-09,16954.88,53.46,3748.04,2912.26,3489.00,3325.63,218,0
B,2021-10,17136.07,53.97,3671.93,2846.67,3599.46,3443.18,203,0
B,2021-11,17415.20,54.81,3478.50,2548.59,3588.44,3418.79,187,0
B,2021-12,17663.75,55.64,3220.64,2232.66,3596.02,3415.76,176,0
B,2022-01,18452.11,58.39,3106.21,1300.26,3462.43,3268.99,164,0
B,2022-02,19196.80,59.96,2594.88,1071.70,3497.89,3327.68,143,0
B,2022-03,19378.87,60.66,2378.67,505.29,3333.82,3143.67,128,0
B,2022-04,18994.64,59.67,2539.58,254.83,3230.58,2999.07,102,0
B,2022-05,18705.76,59.16,2687.09,95.71,3122.27,2865.60,92,0
B,2022-06,18365.63,58.19,2876.18,294.43,3098.17,2799.26,79,0
B,2022-07,19049.27,59.55,2794.38,165.51,3087.98,2777.89,66,0
B,2022-08,19474.92,60.99,2804.18,-474.67,3066.17,2730.66,61,0
B,2022-09,19945.84,62.47,2899.11,-1053.74,3017.86,2670.98,59,0
B,2022-10,19362.94,60.75,3215.02,-1434.47,2892.28,2391.92,38,0
B,2022-11,19276.18,59.16,3132.55,-1337.36,2608.36,2084.52,17,0
B,2022-12,22442.57,60.81,2257.43,2257.43,4117.00,4117.00,1,0
C,2021-01,18568.85,46.63,3263.84,1951.22,2938.09,1417.96,1664,0
C,2021-02,18603.84,46.50,3332.99,2131.20,2945.45,1655.54,1558,0
C,2021-03,18683.46,46.62,3391.22,2294.76,3009.84,1843.19,1477,0
C,2021-04,18915.92,47.09,3251.50,2319.38,3101.65,2045.67,1410,0
C,2021-05,19127.75,47.52,3209.15,2432.04,3194.28,2290.44,1327,0
C,2021-06,19426.74,48.17,3198.42,2366.73,3319.02,2519.79,1243,0
C,2021-07,19735.80,48.78,3204.67,2315.31,3479.37,2731.95,1141,0
C,2021-08,20255.44,49.96,3176.84,1976.86,3571.30,2914.17,1025,0
C,2021-09,20617.51,51.00,3111.06,1591.47,3546.17,2986.13,981,0
C,2021-10,21060.39,52.16,3050.59,1184.36,3496.23,3005.06,873,0
C,2021-11,21362.49,53.13,2984.93,799.02,3476.50,2961.41,798,0
C,2021-12,21671.49,54.05,3008.44,280.39,3405.27,2861.07,755,0
C,2022-01,21869.62,54.62,3132.74,-54.20,3341.48,2776.97,706,0
C,2022-02,22286.24,55.69,3250.10,-582.89,3270.87,2686.86,667,0
C,2022-03,22238.96,55.25,3132.98,-682.41,3186.68,2530.40,583,0
C,2022-04,22111.60,54.79,3138.48,-774.46,3103.26,2391.69,505,0
C,2022-05,21482.93,52.98,2894.09,-52.87,3173.48,2438.45,458,0
C,2022-06,21308.72,52.51,2924.79,93.86,3242.70,2449.06,386,0
C,2022-07,21679.60,53.37,3050.98,-307.45,3267.00,2318.43,294,0
C,2022-08,22427.93,55.52,3251.14,-1308.55,3141.73,2111.07,266,0
C,2022-09,22964.56,56.98,3566.64,-1943.11,3067.35,2012.77,256,0
