class,prediction_date,average_rv,average_rv_%,mae,me,mae_market,me_market,count,error_count
overall,2017-01,19580.82,53.31,4156.98,-2510.89,3060.10,-1930.93,8898,0
overall,2017-02,19279.03,52.28,3709.31,-2197.97,3115.88,-1947.20,8892,0
overall,2017-03,18999.47,51.03,3581.21,-1857.90,3182.18,-1956.84,8897,0
overall,2017-04,18489.79,49.98,3046.30,-1503.08,3207.88,-2030.60,8966,0
overall,2017-05,18559.05,49.87,2930.03,-1483.07,3249.43,-2007.82,9104,0
overall,2017-06,18442.92,49.64,2908.36,-1355.57,3266.64,-1971.67,9279,0
overall,2017-07,18314.33,49.44,2887.09,-1276.98,3265.88,-1938.69,9341,0
overall,2017-08,18381.69,49.39,2875.50,-1228.47,3286.57,-1894.49,9691,0
overall,2017-09,18423.33,49.41,2904.99,-1197.77,3312.07,-1861.89,9904,0
overall,2017-10,18309.64,48.72,2897.59,-1011.63,3340.97,-1858.09,10135,0
overall,2017-11,18358.99,48.57,2842.31,-946.85,3378.33,-1856.48,10163,0
overall,2017-12,18366.72,48.38,2828.95,-827.71,3391.56,-1857.08,10286,0
overall,2018-01,18385.56,48.14,2833.40,-698.82,3407.72,-1787.83,10135,0
overall,2018-02,18596.64,48.41,2859.23,-747.15,3390.19,-1700.98,10043,0
overall,2018-03,18710.97,48.79,2864.15,-690.02,3343.98,-1634.41,10382,0
overall,2018-04,18972.74,49.46,2887.10,-733.00,3286.40,-1579.66,10947,0
overall,2018-05,19176.63,49.74,2919.99,-677.60,3276.86,-1505.36,11350,0
overall,2018-06,19193.24,49.76,2930.83,-568.49,3235.93,-1443.53,11576,0
overall,2018-07,19315.59,49.87,2897.53,-470.45,3197.07,-1391.48,11724,0
overall,2018-08,19742.13,50.24,2890.55,-308.60,3140.01,-1326.34,12256,0
overall,2018-09,19652.75,50.06,2873.04,-254.00,3128.23,-1300.43,12185,0
overall,2018-10,19766.30,50.47,2861.48,-335.64,3110.87,-1215.81,12256,0
overall,2018-11,20316.38,51.65,3125.61,-789.18,3116.89,-1165.70,12285,0
overall,2018-12,19681.17,50.16,3403.16,-25.00,3117.90,-1107.27,12405,0
overall,2019-01,19578.35,49.67,3434.55,183.51,3157.95,-995.52,12057,0
overall,2019-02,19714.52,50.05,3436.08,158.86,3194.40,-935.26,11959,0
overall,2019-03,19792.14,50.12,3289.39,157.48,3200.50,-844.48,11973,0
overall,2019-04,19994.00,50.34,2721.52,116.01,3195.95,-724.25,12085,0
overall,2019-05,19794.45,50.05,2670.28,303.14,3166.38,-571.52,11920,0
overall,2019-06,19871.17,50.35,2682.59,408.50,3134.55,-344.25,11604,0
overall,2019-07,19791.60,50.08,2759.13,752.87,3110.18,-169.41,11470,0
overall,2019-08,19796.93,49.92,2779.32,865.18,3132.05,-55.14,11065,0
overall,2019-09,19721.76,49.82,2807.06,1020.33,3159.21,18.04,10953,0
overall,2019-10,19667.22,49.62,2940.57,1134.99,3197.93,93.86,10588,0
overall,2019-11,19547.38,49.39,2986.15,1270.00,3217.80,179.79,10370,0
overall,2019-12,19572.23,49.42,2995.94,1228.58,3271.67,341.41,9626,0
overall,2020-01,19444.72,49.29,3044.24,1402.04,3273.88,497.26,9075,0
overall,2020-02,19417.38,49.29,3085.75,1505.18,3297.20,610.14,8755,0
overall,2020-03,19409.02,49.40,3130.30,1501.04,3324.80,746.30,8276,0
overall,2020-04,19103.82,48.94,3185.97,1764.96,3343.30,826.20,7885,0
overall,2020-05,19166.32,49.07,3233.39,1765.91,3358.93,863.96,7964,0
overall,2020-06,19289.06,49.23,3300.45,1808.82,3395.47,998.00,7977,0
overall,2020-07,19259.78,48.93,3441.11,2090.13,3428.79,1236.76,7680,0
overall,2020-08,18874.35,47.92,3778.13,2798.80,3485.53,1435.02,7371,0
overall,2020-09,19451.07,49.22,3597.68,2356.90,3512.56,1502.61,7318,0
overall,2020-10,19794.46,49.96,3717.37,2239.39,3573.19,1681.45,6859,0
overall,2020-11,19957.62,50.22,3875.95,2376.72,3680.48,1980.55,6295,0
overall,2020-12,20461.92,51.02,3598.38,2102.59,3722.79,2177.21,6054,0
overall,2021-01,20429.63,50.98,3663.19,2258.22,3729.67,2360.62,5861,0
overall,2021-02,20293.68,50.44,3869.14,2674.71,3797.95,2648.16,5466,0
overall,2021-03,20310.53,50.19,3960.08,2971.58,3931.27,2911.72,5100,0
overall,2021-04,20353.82,50.06,4039.88,3179.56,4040.20,3142.14,4793,0
overall,2021-05,20524.89,50.25,4093.89,3325.96,4142.34,3374.19,4472,0
overall,2021-06,20932.39,50.88,4054.08,3256.45,4305.75,3662.23,4167,0
overall,2021-07,21227.27,51.26,4132.42,3300.20,4496.71,3943.73,3789,0
overall,2021-08,22301.39,53.40,3577.53,2447.48,4627.71,4105.91,3398,0
overall,2021-09,22499.00,54.00,3543.83,2235.62,4631.87,4147.35,3258,0
overall,2021-10,22848.10,54.66,3573.46,1977.89,4666.24,4211.51,2903,0
overall,2021-11,23119.13,55.57,3602.60,1586.81,4667.97,4191.85,2657,0
overall,2021-12,23316.45,56.23,3601.12,1221.04,4609.67,4121.44,2510,0
overall,2022-01,23701.06,57.27,3617.13,732.88,4548.81,4037.99,2370,0
overall,2022-02,24088.02,58.12,3713.00,318.29,4517.30,3985.92,2234,0
overall,2022-03,24002.01,58.10,3613.72,157.70,4409.89,3855.95,2010,0
overall,2022-04,23865.29,57.57,3449.65,281.46,4382.28,3801.51,1749,0
overall,2022-05,23682.47,57.08,3402.73,469.83,4376.51,3780.58,1611,0
overall,2022-06,23449.83,57.00,3257.73,399.25,4208.77,3569.11,1366,0
overall,2022-07,23541.84,57.71,3282.46,189.03,4121.16,3400.57,1087,0
overall,2022-08,23790.83,59.02,3269.82,-392.38,3988.68,3214.57,981,0
overall,2022-09,24271.43,60.38,3395.66,-904.64,3982.23,3196.26,951,0
overall,2022-10,24144.94,60.01,3427.80,-1492.04,3593.87,2531.02,600,0
overall,2022-11,24604.06,57.96,3291.97,-1182.86,3723.86,2333.67,306,0
overall,2022-12,29110.57,60.55,3874.95,1046.68,5864.04,5184.78,40,0
A,overall,14986.75,54.37,2189.44,728.92,2357.62,866.69,98285,0
AMG GT,overall,88149.53,59.64,13871.74,7355.97,18489.85,18232.87,407,0
B,overall,16092.19,54.08,2468.03,-1310.27,2377.44,-948.29,49876,0
C,overall,17576.51,45.74,3078.55,-70.42,3327.23,-1502.76,174190,0
CLA,overall,17470.67,53.07,2471.60,73.41,2444.97,404.64,59675,0
CLS,overall,26345.49,38.52,6479.78,2085.90,6641.46,514.61,1945,0
E,overall,24221.51,46.76,3146.82,409.40,4309.87,-2361.56,83201,0
G,overall,81786.71,64.06,25319.89,20633.67,33224.55,32494.13,222,0
GLA,overall,19259.28,56.93,3217.71,430.14,3072.35,2383.21,15240,0
GLB,overall,27509.26,66.28,6687.41,6189.26,10277.79,10277.79,357,0
GLC,overall,28425.94,54.52,5369.07,1904.96,4606.53,2640.27,45940,0
GLE,overall,34805.14,47.97,7709.26,2710.72,7550.33,6277.15,8383,0
GLS,overall,48904.70,55.40,8261.05,1614.07,12691.17,11588.08,518,0
S,overall,58962.39,52.40,10070.32,-4577.70,8574.79,5472.57,2800,0
SL,overall,57742.58,46.91,10253.74,9286.74,16532.39,16500.91,256,0
SLC,overall,22275.47,51.39,7645.88,5845.95,8841.77,8332.67,663,0
A,2017-01,13258.01,52.81,1878.80,-862.08,1613.65,-911.80,1318,0
A,2017-02,13120.33,52.22,1782.86,-745.74,1626.30,-865.88,1311,0
A,2017-03,11916.85,47.44,1595.56,491.53,1661.02,-784.07,1277,0
A,2017-04,13253.45,52.49,1687.35,-811.26,1667.78,-793.16,1332,0
A,2017-05,13220.21,52.16,1662.21,-710.27,1691.28,-759.68,1355,0
A,2017-06,13228.49,52.08,1678.51,-576.69,1719.71,-732.56,1419,0
A,2017-07,13247.72,52.17,1712.04,-538.29,1709.26,-685.38,1464,0
A,2017-08,13350.67,52.43,1740.31,-530.54,1743.00,-670.09,1525,0
A,2017-09,13288.92,52.14,1764.53,-380.58,1771.34,-643.78,1580,0
A,2017-10,12199.81,48.04,1970.79,710.08,1824.30,-658.68,1626,0
A,2017-11,12148.09,47.74,1980.40,804.35,1826.39,-622.98,1606,0
A,2017-12,12064.72,47.35,2008.03,880.01,1836.68,-584.42,1569,0
A,2018-01,11988.03,47.14,2056.56,913.68,1854.41,-571.60,1560,0
A,2018-02,11990.54,47.01,2126.88,979.18,1874.12,-524.55,1576,0
A,2018-03,12239.20,47.53,2151.01,984.94,1873.41,-542.69,1700,0
A,2018-04,12597.98,48.38,2154.15,931.31,1854.26,-570.18,1839,0
A,2018-05,12778.09,48.65,2252.95,1046.24,1912.21,-474.74,1926,0
A,2018-06,12914.78,48.86,2236.08,1137.20,1918.37,-440.42,2028,0
A,2018-07,13026.80,48.99,2212.83,1218.45,1914.53,-392.72,2092,0
A,2018-08,13172.53,49.11,2186.74,1449.44,1866.40,-286.84,2216,0
A,2018-09,13202.36,49.16,2198.22,1484.50,1851.35,-253.74,2245,0
A,2018-10,13793.74,50.90,2046.53,1214.21,1827.34,-145.43,2338,0
A,2018-11,14196.04,51.88,2037.42,1120.33,1854.07,-12.51,2398,0
A,2018-12,14460.98,52.49,2050.08,1053.93,1879.50,54.62,2436,0
A,2019-01,14645.23,53.09,2090.51,972.18,1920.34,204.49,2337,0
A,2019-02,15957.73,57.48,1895.17,-256.11,1953.40,280.98,2305,0
A,2019-03,15924.83,57.29,1970.83,-202.44,2010.16,377.95,2235,0
A,2019-04,16062.51,57.70,2012.17,-234.38,2048.33,468.11,2220,0
A,2019-05,16215.47,58.10,2020.29,-221.26,2062.70,581.49,2211,0
A,2019-06,16402.85,58.71,2041.89,-306.32,2101.72,679.40,2157,0
A,2019-07,16364.58,58.46,2062.78,-161.02,2162.48,810.93,2105,0
A,2019-08,16198.55,57.79,2055.97,64.95,2253.15,954.04,2006,0
A,2019-09,16213.23,57.64,2028.90,233.46,2309.26,1020.61,2026,0
A,2019-10,16059.83,56.91,2071.52,512.08,2380.60,1180.05,1913,0
A,2019-11,16064.52,57.00,2069.93,541.32,2412.49,1291.10,1861,0
A,2019-12,16026.15,56.82,2137.82,680.74,2511.17,1476.21,1738,0
A,2020-01,16198.27,57.21,2147.57,730.95,2529.21,1639.31,1680,0
A,2020-02,16202.14,57.10,2148.88,884.96,2580.04,1745.98,1676,0
A,2020-03,16147.57,56.89,2169.37,1005.55,2591.36,1789.10,1637,0
A,2020-04,16180.95,56.96,2211.81,1003.99,2615.63,1826.96,1587,0
A,2020-05,16256.43,57.19,2263.66,981.20,2647.79,1865.03,1599,0
A,2020-06,16254.89,57.07,2336.45,1132.09,2728.05,1972.01,1614,0
A,2020-07,16177.91,56.78,2427.44,1345.13,2819.39,2139.23,1557,0
A,2020-08,16101.16,56.46,2506.86,1583.91,2945.59,2332.56,1478,0
A,2020-09,16222.19,56.86,2580.01,1578.49,3018.70,2440.38,1460,0
A,2020-10,16312.96,57.03,2614.02,1553.02,3049.68,2483.28,1387,0
A,2020-11,16549.61,57.40,2692.11,1578.10,3185.05,2654.96,1305,0
A,2020-12,16581.88,57.43,2703.73,1626.16,3223.55,2757.49,1253,0
A,2021-01,16607.07,57.42,2701.48,1718.24,3235.81,2883.16,1236,0
A,2021-02,16544.57,57.09,2794.23,1915.96,3342.56,3098.77,1151,0
A,2021-03,16574.81,57.01,2859.60,2018.43,3476.55,3263.85,1072,0
A,2021-04,16630.53,57.07,2856.34,2097.54,3577.72,3415.23,1003,0
A,2021-05,16841.99,57.68,2852.95,2045.67,3720.86,3600.54,935,0
A,2021-06,17071.96,58.12,2868.68,2091.52,3955.11,3863.10,866,0
A,2021-07,17239.83,58.26,3015.84,2160.06,4202.34,4104.19,768,0
A,2021-08,17185.44,57.74,3162.59,2354.01,4448.99,4340.13,653,0
A,2021-09,17401.64,58.37,3104.06,2216.81,4469.49,4359.29,624,0
A,2021-10,17650.61,58.69,3054.18,2165.21,4500.93,4385.13,563,0
A,2021-11,17894.72,59.68,2978.92,1866.35,4399.01,4296.74,529,0
A,2021-12,18059.34,60.34,2916.07,1571.46,4337.92,4231.00,506,0
A,2022-01,18413.60,61.43,2860.77,1165.91,4221.65,4107.99,476,0
A,2022-02,18590.49,61.89,2774.57,1036.23,4201.12,4085.88,453,0
A,2022-03,18701.49,62.44,2617.84,626.87,3939.31,3815.01,420,0
A,2022-04,18800.50,62.15,2599.36,742.67,3920.19,3782.37,366,0
A,2022-05,19001.24,62.97,2685.98,490.16,3823.47,3676.41,343,0
A,2022-06,19204.11,63.68,2661.56,273.18,3587.30,3420.89,295,0
A,2022-07,19592.60,64.72,2528.63,23.81,3442.36,3259.92,251,0
A,2022-08,20040.46,66.25,2391.90,-449.62,3349.76,3155.73,236,0
A,2022-09,20563.63,68.03,2320.87,-986.07,3341.10,3142.00,230,0
A,2022-10,20607.75,67.81,2272.90,-1305.06,3056.73,2804.33,152,0
A,2022-11,21084.52,66.20,1582.49,-543.40,3383.82,3111.36,65,0
A,2022-12,23092.50,62.12,1988.37,1956.39,5641.54,5641.54,9,0
AMG GT,2017-01,89947.81,68.30,11647.64,-5947.81,9740.85,9740.85,3,0
AMG GT,2017-02,94393.70,73.57,15893.70,-15893.70,8998.57,8998.57,2,0
AMG GT,2017-03,94738.62,73.82,16238.62,-16238.62,8998.57,8998.57,2,0
AMG GT,2017-04,93597.33,72.95,15097.33,-15097.33,8998.57,8998.57,2,0
AMG GT,2017-05,88164.78,63.98,13877.98,1568.55,13424.05,13424.05,3,0
AMG GT,2017-06,87008.03,61.42,14762.23,8650.14,17827.44,17827.44,6,0
AMG GT,2017-07,87444.89,61.71,14378.20,8213.28,17827.44,17827.44,6,0
AMG GT,2017-08,88826.75,62.73,15749.35,8363.05,19487.40,19487.40,5,0
AMG GT,2017-09,86310.05,60.93,17101.52,10879.75,19487.40,19487.40,5,0
AMG GT,2017-10,85736.03,60.51,17183.85,11453.77,19487.40,19487.40,5,0
AMG GT,2017-11,86296.40,62.19,13942.37,8828.43,18939.25,18939.25,6,0
AMG GT,2017-12,86593.93,60.96,16403.73,10627.36,18685.57,18685.57,7,0
AMG GT,2018-01,90410.87,61.49,15063.31,12347.29,21664.33,21664.33,6,0
AMG GT,2018-02,89975.27,60.60,17206.30,14931.73,25787.81,25787.81,7,0
AMG GT,2018-03,92469.25,61.71,16116.81,13170.91,30163.29,30163.29,6,0
AMG GT,2018-04,91269.01,60.87,17187.34,14371.16,30163.29,30163.29,6,0
AMG GT,2018-05,89617.35,59.71,18765.87,16022.82,30163.29,30163.29,6,0
AMG GT,2018-06,93845.31,61.13,14483.49,12731.97,26930.24,26930.24,7,0
AMG GT,2018-07,92874.35,61.09,15005.49,10607.99,23551.47,23551.47,9,0
AMG GT,2018-08,94288.97,62.60,15822.22,8004.47,22755.52,22755.52,9,0
AMG GT,2018-09,93297.02,64.62,14607.15,2767.08,21610.67,21610.67,10,0
AMG GT,2018-10,93740.78,64.95,14945.35,2323.32,21610.67,21610.67,10,0
AMG GT,2018-11,95606.15,65.04,11856.25,-838.79,17181.62,17137.05,11,0
AMG GT,2018-12,95522.26,64.41,10499.95,-1818.53,12955.82,12911.24,11,0
AMG GT,2019-01,93578.04,62.71,11884.70,783.71,12180.01,12139.15,12,0
AMG GT,2019-02,92233.75,62.58,11024.04,1954.89,12312.32,12277.30,14,0
AMG GT,2019-03,92647.42,64.17,10921.91,-1537.34,11672.03,11175.52,14,0
AMG GT,2019-04,93031.83,64.79,11856.19,-2578.90,10904.50,10407.99,14,0
AMG GT,2019-05,90307.09,63.82,11608.21,-797.69,11355.45,10892.05,15,0
AMG GT,2019-06,86027.89,60.50,8743.31,3314.84,11036.35,10320.35,15,0
AMG GT,2019-07,82322.07,57.64,11076.23,7605.49,10359.28,9688.04,16,0
AMG GT,2019-08,80367.97,56.33,12102.41,9559.60,10359.28,9688.04,16,0
AMG GT,2019-09,74187.07,52.10,18283.35,15740.50,10359.28,9688.04,16,0
AMG GT,2019-10,84051.38,57.79,11500.24,7112.36,11615.68,10899.69,15,0
AMG GT,2019-11,85063.30,57.45,9464.65,6450.88,12612.98,11681.20,11,0
AMG GT,2019-12,87108.29,57.45,9409.26,6257.31,12437.40,11412.44,10,0
AMG GT,2020-01,84365.62,56.91,11423.43,7399.52,16417.13,15875.87,7,0
AMG GT,2020-02,85020.59,56.88,11149.67,7696.16,17472.13,16998.53,8,0
AMG GT,2020-03,89177.19,56.54,10731.77,7961.81,20035.65,20035.65,6,0
AMG GT,2020-04,87482.33,54.64,14322.34,10801.17,28496.38,28496.38,4,0
AMG GT,2020-05,87482.27,54.64,14322.13,10801.23,28496.38,28496.38,4,0
AMG GT,2020-06,87559.19,54.69,14299.40,10724.31,28496.38,28496.38,4,0
AMG GT,2020-07,88181.89,55.10,14205.79,10101.61,28496.38,28496.38,4,0
AMG GT,2020-08,88218.51,55.12,14193.99,10064.99,28496.38,28496.38,4,0
AMG GT,2020-09,88397.92,55.23,14133.31,9885.58,28496.38,28496.38,4,0
AMG GT,2020-10,88722.55,55.43,13899.86,9560.95,28496.38,28496.38,4,0
AMG GT,2020-11,88289.65,55.17,14414.24,9993.85,28496.38,28496.38,4,0
AMG GT,2020-12,88418.59,55.25,14297.70,9864.91,28496.38,28496.38,4,0
