K_T;K_V;A_T;A_V;Kullback-Leibler_Divergenz;Cosine_Distances;Wasserstein_Distance;Ad-Distance;Jensen_Shannon
-77,26;108,56;-26,4;77,29;36,21782;0,02166;14,5486;0,46;0,28229
-580,47;-89,02;-0,19;30,72;50,9629;0,03744;25,29487;0,69652;0,29978
-14,28;107,97;15,81;107,64;16,48699;0,01161;12,99259;0,41161;0,28229
-24,9;112,52;-59,22;117,13;29,23779;0,02263;4,50574;0,16742;0,30113
-378,63;-273,43;-110,72;-60,22;18,60377;0,02328;17,27619;0,5055;0,29978
-105,7;78,96;-6,17;206,16;12,96577;0,01731;10,94535;0,34383;0,30113
-108,26;-5,77;37,53;119,21;36,21782;0,02166;14,5486;0,46;0,28229
-5,91;23,27;40,8;71,37;50,9629;0,03744;25,29487;0,69652;0,29978
-94,83;277,8;10,67;274,76;16,48699;0,01161;12,99259;0,41161;0,28229
-94,35;297,6;4,81;286,92;29,23779;0,02263;4,50574;0,16742;0,30113
38,14;28,32;163,84;218,69;18,60377;0,02328;17,27619;0,5055;0,29978
40,06;79,94;124,46;21,53;12,96577;0,01731;10,94535;0,34383;0,30113
-234,57;11,51;-58,75;37,29;36,21782;0,02166;14,5486;0,46;0,28229
-920,38;-203,2;-60;-56,51;50,9629;0,03744;25,29487;0,69652;0,29978
-15,85;-32,44;79,4;-5,89;16,48699;0,01161;12,99259;0,41161;0,28229
-98,83;8,04;91,03;-27,68;29,23779;0,02263;4,50574;0,16742;0,30113
-442,08;-305,37;44,06;-21,22;18,60377;0,02328;17,27619;0,5055;0,29978
3,48;59,01;56,89;80,99;12,96577;0,01731;10,94535;0,34383;0,30113
-1,36;4,74;4,75;6,62;24697,7;0,0068;4,10802;0,43856;0,40898
0,36;4,82;5,05;5,78;39849,04;0,0086;2,2901;0,2796;0,2796
40,83;16,61;42,71;16,99;18137,31;0,01293;1,3752;0,20562;0,40898
40,57;15,95;42,16;17,33;29819,52;0,01458;1,01377;0,11245;0,40561
22,99;20,39;8,54;18,96;24558,79;0,01086;0,4564;0,05652;0,38535
28,78;21,94;23,29;23,335;32108,65;0,01332;0,78323;0,09544;0,40561
3,42;5,38;11,14;3,71;24697,7;0,0068;4,10802;0,43856;0,40898
-22,52;-1,85;13,27;2,86;39849,04;0,0086;2,2901;0,2796;0,2796
78,41;44,46;60,71;16,56;18137,31;0,01293;1,3752;0,20562;0,40898
87,94;43,23;28,68;23,96;29819,52;0,01458;1,01377;0,11245;0,40561
6,36;796,44;-0,06;799,69;24558,79;0,01086;0,4564;0,05652;0,38535
10,56;805,81;8,67;800,9;32108,65;0,01332;0,78323;0,09544;0,40561
-11,73;2,04;1,6;4,59;24697,7;0,0068;4,10802;0,43856;0,40898
-15,56;-0,17;1,87;1,36;39849,04;0,0086;2,2901;0,2796;0,2796
34,33;5;39,78;-0,72;18137,31;0,01293;1,3752;0,20562;0,40898
17,62;4,55;25,97;3,15;29819,52;0,01458;1,01377;0,11245;0,40561
34,51;-3,22;9,29;-1,11;24558,79;0,01086;0,4564;0,05652;0,38535
41,3;-7,16;42,16;-5,86;32108,65;0,01332;0,78323;0,09544;0,40561
-1,4;-0,78;1,43;0,51;0,001578624;1,08004954;0,000215281;0,63748503;0
0,85;1,11;-1,09;-0,19;0,004041014;0,979851832;0,000473066;0,730299401;0
-6,52;0,54;-8,33;0,91;0,001997449;1,009872123;0,00012024;0,318203593;0
-0,09;3,21;0,01;2,4;0,003935869;0,975570207;0,00028006;0,439041916;0
1,23;0,19;1,89;0,01;0,003237657;0,954530618;7,22E-05;0,228742515;0
2,55;0,52;1,93;0,53;0,005294971;0,978805047;6,81E-05;0,177005988;0
0,91;-0,74;1;0,3;0,001578624;1,08004954;0,000215281;0,63748503;0
4,04;2,31;0,89;0,26;0,004041014;0,979851832;0,000473066;0,730299401;0
-1,05;-1,77;-0,06;-0,04;0,001997449;1,009872123;0,00012024;0,318203593;0
-7,36;-6,45;0,07;-0,08;0,003935869;0,975570207;0,00028006;0,439041916;0
-1,05;-0,5;-0,29;-0,32;0,003237657;0,954530618;7,22E-05;0,228742515;0
-1,03;0,46;-0,26;0,41;0,005294971;0,978805047;6,81E-05;0,177005988;0
-1,11;-0,96;-1,51;-0,24;0,001578624;1,08004954;0,000215281;0,63748503;0
1,7;2,71;1,83;3,13;0,004041014;0,979851832;0,000473066;0,730299401;0
-0,61;-1,96;-1,21;-2,04;0,001997449;1,009872123;0,00012024;0,318203593;0
1,19;1,92;-0,83;-6,7;0,003935869;0,975570207;0,00028006;0,439041916;0
-2,01;-0,83;-5,96;-0,9;0,003237657;0,954530618;7,22E-05;0,228742515;0
-1,59;0,23;-3,81;0,05;0,005294971;0,978805047;6,81E-05;0,177005988;0
-33,06;4,14;4,8;5,6;0,201183955;0,005177301;4,270179641;0,581437126;0,083412528
-17,12;4,2;7,42;5,22;0,231561557;0,005607776;4,901916168;0,620359281;0,086263092
-4,18;9,55;-0,69;8,64;0,139863695;0,005540434;1,976167665;0,328263473;0,083412528
-1,84;8,89;2,81;11,38;0,099149365;0,005840346;0,732095808;0,139640719;0,078266166
5,17;-8,67;3,32;1,89;0,155991948;0,004575512;2,476047904;0,419760479;0,086263092
12,03;-2,37;1,16;0,22;0,108337411;0,004339576;1,095808383;0,210179641;0,078266166
-22,03;12,38;3,13;6,29;0,201183955;0,005177301;4,270179641;0,581437126;0,083412528
-27,83;10,52;-0,38;-0,67;0,231561557;0,005607776;4,901916168;0,620359281;0,086263092
-8,35;-2,17;-7,54;-2,93;0,139863695;0,005540434;1,976167665;0,328263473;0,083412528
-4,53;-0,84;0,29;-0,75;0,099149365;0,005840346;0,732095808;0,139640719;0,078266166
7,72;-2,3;3,86;1,41;0,155991948;0,004575512;2,476047904;0,419760479;0,086263092
12,66;1,27;3,71;1,37;0,108337411;0,004339576;1,095808383;0,210179641;0,078266166
-26,81;15,72;-6,84;16,06;0,201183955;0,005177301;4,270179641;0,581437126;0,083412528
-27,01;12,73;-11,28;11,58;0,231561557;0,005607776;4,901916168;0,620359281;0,086263092
-8,72;-1,45;-2,19;-2,27;0,139863695;0,005540434;1,976167665;0,328263473;0,083412528
-3,52;0,54;-1,29;1,01;0,099149365;0,005840346;0,732095808;0,139640719;0,078266166
8,04;-9,22;13,18;2,2;0,155991948;0,004575512;2,476047904;0,419760479;0,086263092
11,76;-0,27;1,58;1,06;0,108337411;0,004339576;1,095808383;0,210179641;0,078266166
