B_T;B_V;K_T;K_V;A_T;A_V;K_T_diff;K_V_diff;A_T_diff;A_V_diff;KLD;CD;WAD;AD;JS;MMD;len_tar;len_source
8,5;241,18;185,0535913;236,5970009;34,9;163,89;-176,5535913;4,582999102;-26,4;77,29;36,21782;0,02166;14,5486;0,46;0,28229;0,027007911;25;300
8,5;241,18;150,8244861;267,4154335;8,69;210,46;-142,3244861;-26,23543353;-0,19;30,72;50,9629;0,03744;25,29487;0,69652;0,29978;0,029639844;25;300
72,34;235,19;92,59187299;137,3406919;56,53;127,55;-20,25187299;97,84930808;15,81;107,64;16,48699;0,01161;12,99259;0,41161;0,28229;0,027007911;25;300
72,34;235,19;113,0853315;129,3345505;131,56;118,06;-40,74533153;105,8554495;-59,22;117,13;29,23779;0,02263;4,50574;0,16742;0,30113;0,029301377;25;300
8,68;241,06;348,6636415;397,7959898;119,4;301,28;-339,9836415;-156,7359898;-110,72;-60,22;18,60377;0,02328;17,27619;0,5055;0,29978;0,029639846;25;300
8,68;241,06;68,0484657;159,442315;14,85;34,9;-59,3684657;81,61768502;-6,17;206,16;12,96577;0,01731;10,94535;0,34383;0,30113;0,029301377;25;300
6,91;8,86;29,90478673;8,971912594;2,16;2,24;-22,99478673;-0,111912594;4,75;6,62;24697,7;0,0068;4,10802;0,43856;0,40898;0,024310675;25;300
6,91;8,86;9,854143019;7,036059446;1,86;3,08;-2,944143019;1,823940554;5,05;5,78;39849,04;0,0086;2,2901;0,2796;0,2796;0,024167247;25;300
43,66;19,48;29,03696408;16,49621643;0,95;2,49;14,62303592;2,983783569;42,71;16,99;18137,31;0,01293;1,3752;0,20562;0,40898;0,024310675;25;300
43,66;19,48;7,525425377;4,815763972;1,5;2,15;36,13457462;14,66423603;42,16;17,33;29819,52;0,01458;1,01377;0,11245;0,40561;0,02409553;25;300
32,96;29,65;10,54557738;21,38820782;24,42;10,69;22,41442262;8,261792182;8,54;18,96;24558,79;0,01086;0,4564;0,05652;0,38535;0,024167247;25;300
32,96;29,65;9,613616983;13,36992966;9,67;6,315;23,34638302;16,28007034;23,29;23,335;32108,65;0,01332;0,78323;0,09544;0,40561;0,024095532;25;300
4,37;3,4;5,17E-08;4,11E-08;2,94;2,89;4,369999948;3,399999959;1,43;0,51;0,001578624;1,08004954;0,000215281;0,63748503;0;0,023939107;25;300
4,37;3,4;2,28E-07;1,77E-07;5,46;3,59;4,369999772;3,399999823;-1,09;-0,19;0,004041014;0,979851832;0,000473066;0,730299401;0;0,024094336;25;300
1,55;4,47;9,96E-09;4,23E-08;9,88;3,56;1,54999999;4,469999958;-8,33;0,91;0,001997449;1,009872123;0,00012024;0,318203593;0;0,023939107;25;300
1,55;4,47;9,78E-08;9,03E-08;1,54;2,07;1,549999902;4,46999991;0,01;2,4;0,003935869;0,975570207;0,00028006;0,439041916;0;0,023982817;25;300
3,91;2,4;2,20E-08;2,31E-07;2,02;2,39;3,909999978;2,399999769;1,89;0,01;0,003237657;0,954530618;7,22E-05;0,228742515;0;0,024094336;25;300
3,91;2,4;1,30E-08;1,72E-07;1,98;1,87;3,909999987;2,399999828;1,93;0,53;0,005294971;0,978805047;6,81E-05;0,177005988;0;0,023982815;25;300
12,98;19,06;46,04204722;15,03608897;8,18;13,46;-33,06204722;4,023911027;4,8;5,6;0,201183955;0,005177301;4,270179641;0,581437126;0,083412528;0,162818357;25;300
12,98;19,06;24,6256;12,44798141;5,56;13,84;-11,6456;6,612018594;7,42;5,22;0,231561557;0,005607776;4,901916168;0,620359281;0,086263092;0,29671967;25;300
4,27;20,42;8,462151815;9,3466685;4,96;11,78;-4,192151815;11,0733315;-0,69;8,64;0,139863695;0,005540434;1,976167665;0,328263473;0,083412528;0,162818342;25;300
4,27;20,42;6,273473314;11,47408171;1,46;9,04;-2,003473314;8,94591829;2,81;11,38;0,099149365;0,005840346;0,732095808;0,139640719;0,078266166;0,070723355;25;300
16,66;7,65;14,07999262;15,15514385;13,34;5,76;2,580007379;-7,505143846;3,32;1,89;0,155991948;0,004575512;2,476047904;0,419760479;0,086263092;0,29671967;25;300
16,66;7,65;13,54870252;11,28187692;15,5;7,43;3,111297483;-3,631876923;1,16;0,22;0,108337411;0,004339576;1,095808383;0,210179641;0,078266166;0,070723355;25;300
3947,12;;5705,35;;5453,51;;-1758,23;;-1506,39;;3426,572302;0,12147;7048,695348;0,420469;NaN;0,068376;117;118
3947,12;;6814,78;;4066,84;;-2867,66;;-119,72;;NaN;NaN;7826,095866;0,286809;NaN;NaN;117;97
3947,12;;5953,46;;3054,7;;-2006,34;;892,42;;2615,848894;0,10324;4703,630658;0,395869;NaN;0,068376;117;379
3947,12;;5953,34;;3781,67;;-2006,22;;165,45;;NaN;NaN;5336,761939;0,252804;NaN;NaN;117;64
2578,5;;1935,1;;921,92;;643,4;;1656,58;;1682,168331;0,090521;2074,765823;0,346841;NaN;0,012861;658;761
2578,5;;2059,39;;885,19;;519,11;;1693,31;;1716,006701;0,097898;1478,425803;0,27529;NaN;0,013954;658;4451
2578,5;;1880,15;;902,38;;698,35;;1676,12;;1312,99745;0,067079;1567,232925;0,272937;NaN;0,012259;658;4993
2578,5;;2208,55;;1076,67;;369,95;;1501,83;;NaN;NaN;2011,039186;0,238192;NaN;NaN;658;356
3575,78;;3594,84;;1976,11;;-19,06;;1599,67;;2366,164651;0,087468;3692,584028;0,334413;NaN;0,034042;236;2101
3575,78;;4010,43;;2344,84;;-434,65;;1230,94;;3581,075556;0,130857;2667,896886;0,268384;NaN;0,041332;236;1143
3575,78;;4072,57;;1909,38;;-496,79;;1666,4;;1809,072713;0,0533;780,366181;0,092924;NaN;0,034071;236;1403
3575,78;;3283,4;;2143,62;;292,38;;1432,16;;NaN;NaN;2830,453195;0,228488;NaN;NaN;236;156
10651,31;;7812,7;;5660,68;;2838,61;;4990,63;;4048,201589;0,059381;8597,855543;0,221407;NaN;0,046237;175;201
10651,31;;7959,93;;5480,37;;2691,38;;5170,94;;1992,507564;0,029604;6006,919368;0,187468;NaN;0,046498;175;440
10651,31;;8359,81;;5340,81;;2291,5;;5310,5;;1995,125581;0,034256;6621,053485;0,305866;NaN;0,047217;175;866
10651,31;;8431,06;;5860,41;;2220,25;;4790,9;;NaN;NaN;16419,97454;0,529312;NaN;NaN;175;162
