B_T;B_V;K_T;K_V;A_T;A_V;K_T_diff;K_V_diff;A_T_diff;A_V_diff;KLD;CD;WAD;AD;JS;MMD;len_tar;len_source
57,24;127,9;64,4162998;107,8090606;19,71;8,69;-7,176299797;20,09093942;37,53;119,21;36,21782;0,02166;14,5486;0,46;0,28229;0,027007911;25;300
57,24;127,9;139,3171339;124,7762578;16,44;56,53;-82,07713386;3,123742194;40,8;71,37;50,9629;0,03744;25,29487;0,69652;0,29978;0,029639844;25;300
52,75;406,32;147,5855206;128,5245672;42,08;131,56;-94,83552057;277,7954328;10,67;274,76;16,48699;0,01161;12,99259;0,41161;0,28229;0,027007911;25;300
52,75;406,32;147,1004075;108,7273367;47,94;119,4;-94,35040748;297,5926633;4,81;286,92;29,23779;0,02263;4,50574;0,16742;0,30113;0,029301377;25;300
208,64;233,54;183,6128253;204,0915472;44,8;14,85;25,02717474;29,44845277;163,84;218,69;18,60377;0,02328;17,27619;0,5055;0,29978;0,029639846;25;300
208,64;233,54;169,0095149;150,9016602;84,18;212,01;39,6304851;82,63833985;124,46;21,53;12,96577;0,01731;10,94535;0,34383;0,30113;0,029301377;25;300
31,36;12,1;38,60236355;8,127166595;20,22;8,39;-7,242363552;3,972833405;11,14;3,71;24697,7;0,0068;4,10802;0,43856;0,40898;0,024310675;25;300
31,36;12,1;30,44061885;10,5520618;18,09;9,24;0,919381152;1,547938199;13,27;2,86;39849,04;0,0086;2,2901;0,2796;0,2796;0,024167247;25;300
104,61;53,69;20,3591835;15,96229084;43,9;37,13;84,2508165;37,72770916;60,71;16,56;18137,31;0,01293;1,3752;0,20562;0,40898;0,024310675;25;300
104,61;53,69;16,90386583;13,82734648;75,93;29,73;87,70613417;39,86265352;28,68;23,96;29819,52;0,01458;1,01377;0,11245;0,40561;0,02409553;25;300
17,37;824,05;11,40256453;25,67608693;17,43;24,36;5,967435468;798,3739131;-0,06;799,69;24558,79;0,01086;0,4564;0,05652;0,38535;0,024167247;25;300
17,37;824,05;11,63115192;24,28331226;8,7;23,15;5,738848079;799,7666877;8,67;800,9;32108,65;0,01332;0,78323;0,09544;0,40561;0,024095532;25;300
6,35;4,12;5,44E-08;4,86E-08;5,35;3,82;6,349999946;4,119999951;1;0,3;0,001578624;1,08004954;0,000215281;0,63748503;0;0,023939107;25;300
6,35;4,12;2,32E-07;1,82E-07;5,46;3,86;6,349999768;4,119999818;0,89;0,26;0,004041014;0,979851832;0,000473066;0,730299401;0;0,024094336;25;300
