B_T;B_V;K_T;K_V;A_T;A_V;K_T_diff;K_V_diff;A_T_diff;A_V_diff;KLD;CD;WAD;AD;JS;MMD;len_tar;len_source
40,87;184,81;275,4425071;174,7801631;99,62;147,52;-234,5725071;10,02983693;-58,75;37,29;36,21782;0,02166;14,5486;0,46;0,28229;0,027007911;25;300
40,87;184,81;961,2565431;387,7009525;100,87;241,32;-920,3865431;-202,8909525;-60;-56,51;50,9629;0,03744;25,29487;0,69652;0,29978;0,029639844;25;300
159,91;181,24;175,7669884;213,6827998;80,51;187,13;-15,85698844;-32,44279982;79,4;-5,89;16,48699;0,01161;12,99259;0,41161;0,28229;0,027007911;25;300
159,91;181,24;258,7436804;173,3551442;68,88;208,92;-98,83368044;7,884855843;91,03;-27,68;29,23779;0,02263;4,50574;0,16742;0,30113;0,029301377;25;300
179,2;334,62;621,2862809;639,9293858;135,14;355,84;-442,0862809;-305,3093858;44,06;-21,22;18,60377;0,02328;17,27619;0,5055;0,29978;0,029639846;25;300
179,2;334,62;175,7256031;275,6117049;122,31;253,63;3,474396889;59,00829515;56,89;80,99;12,96577;0,01731;10,94535;0,34383;0,30113;0,029301377;25;300
4,09;16,16;16,2;30,34016541;2,49;11,57;-12,11;-14,18016541;1,6;4,59;24697,7;0,0068;4,10802;0,43856;0,40898;0,024310675;25;300
4,09;16,16;36,57333333;19,50377562;2,22;14,8;-32,48333333;-3,34377562;1,87;1,36;39849,04;0,0086;2,2901;0,2796;0,2796;0,024167247;25;300
56,17;25,62;33,87111111;31,53074434;16,39;26,34;22,29888889;-5,910744337;39,78;-0,72;18137,31;0,01293;1,3752;0,20562;0,40898;0,024310675;25;300
56,17;25,62;59,90666667;24,31427544;30,2;22,47;-3,736666667;1,30572456;25,97;3,15;29819,52;0,01458;1,01377;0,11245;0,40561;0,02409553;25;300
52,14;31,85;21,00444444;43,78748652;42,85;32,96;31,13555556;-11,93748652;9,29;-1,11;24558,79;0,01086;0,4564;0,05652;0,38535;0,024167247;25;300
52,14;31,85;16,96888889;40,05285868;9,98;37,71;35,17111111;-8,202858684;42,16;-5,86;32108,65;0,01332;0,78323;0,09544;0,40561;0,024095532;25;300
4,28;4,82;4,79E-08;5,61E-08;5,79;5,06;4,279999952;4,819999944;-1,51;-0,24;0,001578624;1,08004954;0,000215281;0,63748503;0;0,023939107;25;300
4,28;4,82;2,51E-07;2,15E-07;2,45;1,69;4,279999749;4,819999785;1,83;3,13;0,004041014;0,979851832;0,000473066;0,730299401;0;0,024094336;25;300
2,9;3,15;3,53E-08;5,05E-08;4,11;5,19;2,899999965;3,149999949;-1,21;-2,04;0,001997449;1,009872123;0,00012024;0,318203593;0;0,023939107;25;300
2,9;3,15;1,72E-07;1,29E-07;3,73;9,85;2,899999828;3,149999871;-0,83;-6,7;0,003935869;0,975570207;0,00028006;0,439041916;0;0,023982817;25;300
2,09;2,77;3,79E-08;3,61E-07;8,05;3,67;2,089999962;2,769999639;-5,96;-0,9;0,003237657;0,954530618;7,22E-05;0,228742515;0;0,024094336;25;300
2,09;2,77;3,69E-08;2,57E-07;5,9;2,72;2,089999963;2,769999743;-3,81;0,05;0,005294971;0,978805047;6,81E-05;0,177005988;0;0,023982815;25;300
14,57;28,24;41,38222222;12,52139518;21,41;12,18;-26,81222222;15,71860482;-6,84;16,06;0,201183955;0,005177301;4,270179641;0,581437126;0,083412528;0,162818357;25;300
14,57;28,24;41,58222222;15,5167206;25,85;16,66;-27,01222222;12,7232794;-11,28;11,58;0,231561557;0,005607776;4,901916168;0,620359281;0,086263092;0,29671967;25;300
2,39;9,72;11,11111111;11,18806185;4,58;11,99;-8,721111111;-1,468061848;-2,19;-2,27;0,139863695;0,005540434;1,976167665;0,328263473;0,083412528;0,162818342;25;300
2,39;9,72;5,911111111;9,187342682;3,68;8,71;-3,521111111;0,532657318;-1,29;1,01;0,099149365;0,005840346;0,732095808;0,139640719;0,078266166;0,070723355;25;300
21;9,19;12,96888889;18,41352032;7,82;6,99;8,031111111;-9,223520316;13,18;2,2;0,155991948;0,004575512;2,476047904;0,419760479;0,086263092;0,29671967;25;300
21;9,19;9,24;8,750449479;19,42;8,13;11,76;0,439550521;1,58;1,06;0,108337411;0,004339576;1,095808383;0,210179641;0,078266166;0,070723355;25;300
5582,48;;5209,48;;6668,79;;373;;-1086,31;;3426,572302;0,12147;7048,695348;0,420469;NaN;0,068376;117;118
5582,48;;6119,9;;7660,88;;-537,42;;-2078,4;;NaN;NaN;7826,095866;0,286809;NaN;NaN;117;97
5582,48;;6883,21;;6304,73;;-1300,73;;-722,25;;2615,848894;0,10324;4703,630658;0,395869;NaN;0,068376;117;379
